name,baseCurrency,quoteCurrency,type,bid,change1h
BCHHALF/USD,BCHHALF,USD,spot,7817.5,0.00553090230883015
BCHHEDGE/USD,BCHHEDGE,USD,spot,324.25,-0.010376926598504501
BEAR/USD,BEAR,USD,spot,0.000104,-0.016633588507702485
BEAR/USDT,BEAR,USDT,spot,0.00010385,-0.0174077578051088
BEARSHIT/USD,BEARSHIT,USD,spot,6.26e-06,-0.043674698795180725
BNBBEAR/USD,BNBBEAR,USD,spot,,0.0
BNBBEAR/USDT,BNBBEAR,USDT,spot,1e-08,0.0
BNBBULL/USD,BNBBULL,USD,spot,124.2,0.02687060768912774
BNBBULL/USDT,BNBBULL,USDT,spot,124.05,0.024783147459727387
BNBHALF/USD,BNBHALF,USD,spot,42850.0,0.004148892654706948
BNBHEDGE/USD,BNBHEDGE,USD,spot,7.258,-0.008198961464881116
BSVBEAR/USD,BSVBEAR,USD,spot,1.078e-05,-0.027953110910730387
BSVBEAR/USDT,BSVBEAR,USDT,spot,1.078e-05,-0.018050541516245487
BSVBULL/USD,BSVBULL,USD,spot,1.18e-06,0.02608695652173913
BSVBULL/USDT,BSVBULL,USDT,spot,1.18e-06,0.02608695652173913
BSVHALF/USD,BSVHALF,USD,spot,4456.25,0.004670793472144063
BSVHEDGE/USD,BSVHEDGE,USD,spot,274.25,-0.008943897371036227
BULL/USD,BULL,USD,spot,1666.5,0.016148689823278488
BULL/USDT,BULL,USDT,spot,1667.0,0.015525114155251141
BULLSHIT/USD,BULLSHIT,USD,spot,1.722,0.06436851738865161
BVOL/BTC,BVOL,BTC,spot,0.01045,-0.009174311926605505
BVOL/USD,BVOL,USD,spot,409.0,-0.0013429373702844585
BVOL/USDT,BVOL,USDT,spot,408.25,0.0
COMPBEAR/USD,COMPBEAR,USD,spot,3.41e-06,-0.050666666666666665
COMPBEAR/USDT,COMPBEAR,USDT,spot,3.41e-06,-0.013888888888888888
COMPBULL/USD,COMPBULL,USD,spot,0.003502,0.055455093429776975
COMPBULL/USDT,COMPBULL,USDT,spot,0.0035,0.052948255114320095
COMPHALF/USD,COMPHALF,USD,spot,9386.0,0.008470033236839284
COMPHEDGE/USD,COMPHEDGE,USD,spot,103.08,-0.017162471395881007
CUSDTBEAR/USD,CUSDTBEAR,USD,spot,12170.0,0.0
CUSDTBEAR/USDT,CUSDTBEAR,USDT,spot,12160.0,0.0
CUSDTBULL/USD,CUSDTBULL,USD,spot,4291.0,0.00046630916297505244
CUSDTBULL/USDT,CUSDTBULL,USDT,spot,4290.0,0.00023315458148752622
CUSDTHALF/USD,CUSDTHALF,USD,spot,5101.75,0.0
CUSDTHEDGE/USD,CUSDTHEDGE,USD,spot,6018.0,0.0
DEFIBEAR/USD,DEFIBEAR,USD,spot,0.00064075,-0.050716648291069456
DEFIBEAR/USDT,DEFIBEAR,USDT,spot,0.00064075,-0.04827330115113257
DEFIBULL/USD,DEFIBULL,USD,spot,0.77425,0.05466893039049236
DEFIBULL/USDT,DEFIBULL,USDT,spot,0.77175,0.05755395683453238
DEFIHALF/USD,DEFIHALF,USD,spot,12347.0,0.005619807786284411
DEFIHEDGE/USD,DEFIHEDGE,USD,spot,180.375,-0.01743156747923192
DOGEBEAR2021/USD,DOGEBEAR2021,USD,spot,1.7115,-0.029211571185479297
DOGEBULL/USD,DOGEBULL,USD,spot,1.173,0.027972027972027972
